Trade Num,Trade Type,Entry Time,Exposure,Entry Balance,Max Drawdown,PnL
1,Long,"2020/05/21, 00:00","23 Hours, 30 Minutes",98.00,-8.94 %,-5.22 %
2,Long,"2020/05/22, 04:30","4 Days, 16 Hours",92.98,-6.00 %,0.92 %
3,Long,"2020/05/27, 22:30","5 Days, 21 Hours, 30 Minutes",93.82,-8.42 %,14.23 %
4,Long,"2020/06/03, 04:30","13 Days, 15 Hours",106.91,-11.40 %,-1.46 %
5,Long,"2020/06/17, 02:30","15 Days, 18 Hours, 30 Minutes",105.38,-12.03 %,-3.21 %
6,Long,"2020/07/03, 05:00","9 Days, 13 Hours, 30 Minutes",102.06,-4.52 %,4.94 %
7,Long,"2020/07/12, 20:00","3 Days, 19 Hours",107.01,-5.46 %,-2.62 %
8,Long,"2020/07/16, 21:00","11 Days, 17 Hours",104.26,-5.84 %,35.09 %
9,Long,"2020/07/29, 02:00","21 Days, 9 Hours",140.11,-11.77 %,30.53 %
10,Long,"2020/08/19, 16:00","14 Days, 5 Hours",182.02,-11.66 %,6.17 %
11,Long,"2020/09/03, 07:30","10 Days, 13 Hours, 30 Minutes",193.03,-27.48 %,-16.33 %
12,Long,"2020/09/14, 01:30","7 Days, 17 Hours, 30 Minutes",162.15,-14.20 %,-5.09 %
13,Long,"2020/09/22, 00:30","15 Days, 21 Hours, 30 Minutes",154.07,-8.56 %,-1.55 %
14,Long,"2020/10/07, 23:00","3 Days, 9 Hours, 30 Minutes",151.73,-1.81 %,9.07 %
15,Long,"2020/10/11, 20:30","12 Days, 2 Hours",165.21,-7.59 %,9.12 %
16,Long,"2020/10/24, 01:00","2 Days, 21 Hours",179.97,-7.22 %,-4.19 %
17,Long,"2020/10/27, 10:00","11 Days, 14 Hours",172.58,-8.88 %,10.80 %
18,Long,"2020/11/08, 09:00","12 Days, 18 Hours, 30 Minutes",190.85,-21.49 %,46.53 %
19,Long,"2020/12/21, 07:00","14 Hours, 30 Minutes",277.88,-6.59 %,-5.12 %
20,Long,"2020/12/22, 00:30","9 Days, 5 Hours, 30 Minutes",263.94,-9.85 %,20.66 %
21,Long,"2020/12/31, 15:30","20 Days, 12 Hours",317.37,-28.65 %,164.28 %
22,Long,"2021/02/21, 08:30","16 Days, 23 Hours, 30 Minutes",828.31,-32.48 %,-6.53 %
23,Long,"2021/03/10, 22:00","1 Day, 20 Hours",775.30,-5.83 %,-2.98 %
24,Long,"2021/03/12, 21:00","2 Days, 17 Hours",752.64,-9.25 %,2.53 %
25,Long,"2021/03/15, 18:00","11 Hours, 30 Minutes",771.29,-3.90 %,-1.15 %
26,Long,"2021/03/16, 13:30","19 Hours, 30 Minutes",762.63,-2.10 %,-0.59 %
27,Long,"2021/03/17, 10:30","4 Days, 6 Hours, 30 Minutes",758.22,-5.42 %,0.58 %
28,Long,"2021/03/22, 02:30",23 Hours,762.49,-6.58 %,-4.25 %
29,Long,"2021/03/23, 07:30","21 Hours, 30 Minutes",730.75,-3.72 %,0.15 %
30,Long,"2021/03/24, 07:00","4 Days, 18 Hours, 30 Minutes",731.83,-10.03 %,-0.06 %
31,Long,"2021/03/30, 00:00","10 Days, 21 Hours",731.40,-8.33 %,13.75 %
32,Long,"2021/04/10, 00:00","6 Days, 18 Hours, 30 Minutes",829.98,-6.89 %,16.40 %
33,Long,"2021/04/17, 08:00",1 Day,963.38,-13.55 %,-10.38 %
34,Long,"2021/04/18, 12:30","16 Days, 8 Hours",865.36,-18.92 %,60.14 %
35,Long,"2021/05/04, 23:00","12 Days, 23 Hours",1375.40,-57.75 %,-29.24 %
36,Long,"2021/06/18, 03:00","8 Days, 10 Hours",981.22,-26.38 %,-24.04 %
37,Long,"2021/06/26, 15:00","16 Days, 20 Hours",750.08,-16.91 %,13.30 %
38,Long,"2021/07/13, 15:30","6 Days, 3 Hours",847.85,-10.28 %,-8.35 %
39,Long,"2021/07/19, 22:30",10 Hours,778.48,-5.26 %,-3.90 %
40,Long,"2021/07/20, 10:30","22 Days, 17 Hours, 30 Minutes",748.72,-10.43 %,83.24 %
41,Long,"2021/08/12, 08:00",3 Hours,1359.48,-0.47 %,0.03 %
42,Long,"2021/08/12, 13:30",8 Hours,1359.92,-4.15 %,-2.25 %
43,Long,"2021/08/12, 23:30","16 Days, 8 Hours, 30 Minutes",1329.89,-10.50 %,5.87 %
44,Long,"2021/08/29, 12:30","1 Day, 16 Hours, 30 Minutes",1406.36,-4.08 %,0.75 %
45,Long,"2021/08/31, 18:30","10 Days, 30 Minutes",1416.67,-18.12 %,-1.74 %
46,Long,"2021/09/11, 00:00","8 Days, 16 Hours, 30 Minutes",1392.53,-8.98 %,4.60 %
47,Long,"2021/09/19, 18:30","1 Day, 10 Hours, 30 Minutes",1455.33,-14.37 %,-11.48 %
48,Long,"2021/09/21, 13:30",Position Open,1291.62,-12.21 %,53.21 %
